Date,Time,Tin,RHin
2025-10-31,00:00,26.00,78.00
2025-10-31,00:01,26.00,78.20
2025-10-31,00:02,26.00,78.30
2025-10-31,00:03,26.00,78.10
2025-10-31,00:04,26.00,78.20
2025-10-31,00:05,26.00,78.20
2025-10-31,00:06,26.00,78.30
2025-10-31,00:07,26.00,78.20
2025-10-31,00:08,26.00,78.40
2025-10-31,00:09,26.00,78.10
2025-10-31,00:10,26.00,78.30
2025-10-31,00:11,26.00,78.00
2025-10-31,00:12,26.00,78.20
2025-10-31,00:13,26.00,78.50
2025-10-31,00:14,26.00,78.50
2025-10-31,00:15,26.00,78.30
2025-10-31,00:16,26.00,78.40
2025-10-31,00:17,26.00,78.30
2025-10-31,00:18,26.00,78.20
2025-10-31,00:19,26.00,78.30
2025-10-31,00:20,26.00,78.40
2025-10-31,00:21,26.00,78.40
2025-10-31,00:22,26.00,78.30
2025-10-31,00:23,26.00,78.30
2025-10-31,00:24,26.00,78.20
2025-10-31,00:25,26.00,78.40
2025-10-31,00:26,26.00,78.50
2025-10-31,00:27,26.00,78.10
2025-10-31,00:28,26.00,78.30
2025-10-31,00:29,26.00,78.30
2025-10-31,00:30,26.00,78.30
2025-10-31,00:31,26.30,77.40
2025-10-31,00:32,26.50,76.50
2025-10-31,00:33,26.70,75.60
2025-10-31,00:34,26.80,75.20
2025-10-31,00:35,26.90,74.90
2025-10-31,00:36,27.00,74.40
2025-10-31,00:37,27.00,74.20
2025-10-31,00:38,27.10,74.20
2025-10-31,00:39,27.10,74.00
2025-10-31,00:40,27.10,73.90
2025-10-31,00:41,27.10,73.80
2025-10-31,00:42,27.20,73.70
2025-10-31,00:43,27.10,73.60
2025-10-31,00:44,27.20,73.60
2025-10-31,00:45,27.20,73.50
2025-10-31,00:46,27.20,73.70
2025-10-31,00:47,27.20,73.90
2025-10-31,00:48,27.20,73.90
2025-10-31,00:49,27.20,73.90
2025-10-31,00:50,27.20,73.80
2025-10-31,00:51,27.20,73.70
2025-10-31,00:52,27.20,73.60
2025-10-31,00:53,27.20,73.90
2025-10-31,00:54,27.20,74.10
2025-10-31,00:55,27.20,73.90
2025-10-31,00:56,27.20,74.00
2025-10-31,00:57,27.20,74.00
2025-10-31,00:58,27.20,73.90
2025-10-31,00:59,27.20,73.90
2025-10-31,01:00,27.20,73.90
2025-10-31,01:01,27.20,73.90
2025-10-31,01:02,27.20,74.00
2025-10-31,01:03,27.20,74.00
2025-10-31,01:04,27.20,74.10
2025-10-31,01:05,27.20,74.00
2025-10-31,01:06,27.20,74.20
2025-10-31,01:07,27.10,74.30
2025-10-31,01:08,27.10,74.30
2025-10-31,01:09,27.10,74.40
2025-10-31,01:10,27.10,74.40
2025-10-31,01:11,27.10,74.30
2025-10-31,01:12,27.10,74.40
2025-10-31,01:13,27.10,74.40
2025-10-31,01:14,27.10,74.40
2025-10-31,01:15,27.10,74.40
2025-10-31,01:16,27.10,74.40
2025-10-31,01:17,27.10,74.40
2025-10-31,01:18,27.10,74.40
2025-10-31,01:19,27.10,74.40
2025-10-31,01:20,27.10,74.40
2025-10-31,01:21,27.10,74.30
2025-10-31,01:22,27.10,74.30
2025-10-31,01:23,27.10,74.30
2025-10-31,01:24,27.10,74.40
2025-10-31,01:25,27.10,74.30
2025-10-31,01:26,27.10,74.30
2025-10-31,01:27,27.10,74.40
2025-10-31,01:28,27.10,74.40
2025-10-31,01:29,27.10,74.30
2025-10-31,01:30,27.10,74.30
2025-10-31,01:31,27.10,74.20
2025-10-31,01:32,27.10,74.10
2025-10-31,01:33,27.20,73.90
2025-10-31,01:34,27.20,73.80
2025-10-31,01:35,27.20,73.80
2025-10-31,01:36,27.20,73.80
2025-10-31,01:37,27.20,73.80
2025-10-31,01:38,27.20,73.70
2025-10-31,01:39,27.20,73.70
2025-10-31,01:40,27.20,73.70
2025-10-31,01:41,27.20,73.70
2025-10-31,01:42,27.20,73.60
2025-10-31,01:43,27.20,73.60
2025-10-31,01:44,27.20,73.60
2025-10-31,01:45,27.20,73.80
2025-10-31,01:46,27.20,73.80
2025-10-31,01:47,27.20,73.80
2025-10-31,01:48,27.20,73.80
2025-10-31,01:49,27.20,73.80
2025-10-31,01:50,27.20,73.80
2025-10-31,01:51,27.20,73.80
2025-10-31,01:52,27.20,73.70
2025-10-31,01:53,27.20,73.60
2025-10-31,01:54,27.20,73.70
2025-10-31,01:55,27.20,73.80
2025-10-31,01:56,27.20,73.80
2025-10-31,01:57,27.20,73.80
2025-10-31,01:58,27.10,73.70
2025-10-31,01:59,27.10,73.80
2025-10-31,02:00,27.20,73.80
2025-10-31,02:01,27.20,73.80
2025-10-31,02:02,27.20,73.80
2025-10-31,02:03,27.20,73.80
2025-10-31,02:04,27.10,73.80
2025-10-31,02:05,27.10,73.80
2025-10-31,02:06,27.20,73.90
2025-10-31,02:07,27.20,73.90
2025-10-31,02:08,27.20,73.90
2025-10-31,02:09,27.20,73.80
2025-10-31,02:10,27.20,73.80
2025-10-31,02:11,27.20,73.80
2025-10-31,02:12,27.20,73.80
2025-10-31,02:13,27.20,73.80
2025-10-31,02:14,27.20,73.90
2025-10-31,02:15,27.20,73.90
2025-10-31,02:16,27.10,73.90
2025-10-31,02:17,27.10,73.90
