Time_x,Tin_AHT10,RHin_AHT10,Time_rounded,Time_y,Tin_HMP,RHin_HMP,Tin_Error,RHin_Error
2025-10-23 10:59:14,26.200743571924946,58.521653926337734,2025-10-23 10:59:00,2025-10-23 10:59:00,26.4,57.7,0.19925642807505284,-0.8216539263377314
2025-10-23 11:00:01,26.250743571924946,58.21165392633774,2025-10-23 11:00:00,2025-10-23 11:00:00,26.4,57.1,0.14925642807505213,-1.1116539263377376
2025-10-23 11:01:01,26.220743571924945,58.04165392633774,2025-10-23 11:01:00,2025-10-23 11:01:00,26.5,57.3,0.2792564280750547,-0.7416539263377402
2025-10-23 11:02:02,26.220743571924945,58.00165392633774,2025-10-23 11:02:00,2025-10-23 11:02:00,26.5,57.1,0.2792564280750547,-0.9016539263377368
2025-10-23 11:03:01,26.180743571924946,58.091653926337735,2025-10-23 11:03:00,2025-10-23 11:03:00,26.4,57.2,0.2192564280750524,-0.8916539263377317
2025-10-23 11:04:01,26.190743571924948,57.97165392633774,2025-10-23 11:04:00,2025-10-23 11:04:00,26.4,57.1,0.20925642807505085,-0.8716539263377356
2025-10-23 11:05:02,26.350743571924948,58.131653926337734,2025-10-23 11:05:00,2025-10-23 11:05:00,26.4,57.5,0.04925642807505071,-0.6316539263377337
2025-10-23 11:06:01,26.460743571924947,57.801653926337735,2025-10-23 11:06:00,2025-10-23 11:06:00,26.5,57.2,0.039256428075052696,-0.6016539263377325
2025-10-23 11:07:01,26.490743571924945,57.86165392633774,2025-10-23 11:07:00,2025-10-23 11:07:00,26.5,57.1,0.009256428075055112,-0.7616539263377362
2025-10-23 11:08:02,26.500743571924946,57.411653926337735,2025-10-23 11:08:00,2025-10-23 11:08:00,26.6,56.8,0.09925642807505497,-0.6116539263377376
2025-10-23 11:09:01,26.420743571924945,57.17165392633774,2025-10-23 11:09:00,2025-10-23 11:09:00,26.6,56.6,0.17925642807505682,-0.5716539263377385
2025-10-23 11:10:01,26.330743571924945,57.49165392633774,2025-10-23 11:10:00,2025-10-23 11:10:00,26.5,56.6,0.16925642807505525,-0.8916539263377388
2025-10-23 11:11:02,26.300743571924947,57.85165392633774,2025-10-23 11:11:00,2025-10-23 11:11:00,26.5,57.1,0.19925642807505284,-0.7516539263377382
2025-10-23 11:12:01,26.340743571924946,57.99165392633774,2025-10-23 11:12:00,2025-10-23 11:12:00,26.5,57.0,0.1592564280750537,-0.9916539263377402
2025-10-23 11:13:01,26.310743571924945,58.011653926337736,2025-10-23 11:13:00,2025-10-23 11:13:00,26.5,57.1,0.18925642807505483,-0.9116539263377348
2025-10-23 11:14:02,26.220743571924945,57.47165392633774,2025-10-23 11:14:00,2025-10-23 11:14:00,26.5,56.0,0.2792564280750547,-1.471653926337737
2025-10-23 11:15:01,26.150743571924945,57.65165392633774,2025-10-23 11:15:00,2025-10-23 11:15:00,26.5,56.6,0.34925642807505497,-1.0516539263377354
2025-10-23 11:16:01,26.160743571924947,57.74165392633774,2025-10-23 11:16:00,2025-10-23 11:16:00,26.4,56.5,0.23925642807505199,-1.2416539263377402
2025-10-23 11:17:02,26.360743571924946,57.85165392633774,2025-10-23 11:17:00,2025-10-23 11:17:00,26.5,57.0,0.13925642807505412,-0.8516539263377396
2025-10-23 11:18:01,26.690743571924948,57.231653926337735,2025-10-23 11:18:00,2025-10-23 11:18:00,26.5,57.0,-0.19074357192494773,-0.23165392633773507
2025-10-23 11:19:01,26.710743571924947,56.761653926337736,2025-10-23 11:19:00,2025-10-23 11:19:00,26.6,56.7,-0.11074357192494588,-0.06165392633773337
2025-10-23 11:20:02,26.710743571924947,56.941653926337736,2025-10-23 11:20:00,2025-10-23 11:20:00,26.7,56.7,-0.010743571924948014,-0.24165392633773308
2025-10-23 11:21:01,26.620743571924947,56.82165392633774,2025-10-23 11:21:00,2025-10-23 11:21:00,26.7,56.7,0.07925642807505184,-0.12165392633773564
2025-10-23 11:22:01,26.720743571924945,56.90165392633774,2025-10-23 11:22:00,2025-10-23 11:22:00,26.7,56.4,-0.020743571924946025,-0.5016539263377382
2025-10-23 11:23:02,26.810743571924945,56.75165392633774,2025-10-23 11:23:00,2025-10-23 11:23:00,26.8,56.4,-0.010743571924944462,-0.3516539263377396
2025-10-23 11:24:01,26.680743571924946,56.60165392633774,2025-10-23 11:24:00,2025-10-23 11:24:00,26.8,55.9,0.11925642807505454,-0.701653926337741
2025-10-23 11:25:01,26.690743571924948,56.82165392633774,2025-10-23 11:25:00,2025-10-23 11:25:00,26.8,56.2,0.10925642807505298,-0.6216539263377356
2025-10-23 11:26:02,26.630743571924945,56.74165392633774,2025-10-23 11:26:00,2025-10-23 11:26:00,26.8,55.9,0.16925642807505525,-0.8416539263377416
2025-10-23 11:27:01,26.680743571924946,56.61165392633774,2025-10-23 11:27:00,2025-10-23 11:27:00,26.8,56.0,0.11925642807505454,-0.6116539263377376
2025-10-23 11:28:01,26.700743571924946,56.61165392633774,2025-10-23 11:28:00,2025-10-23 11:28:00,26.8,55.9,0.09925642807505497,-0.711653926337739
2025-10-23 11:29:02,26.730743571924947,56.481653926337735,2025-10-23 11:29:00,2025-10-23 11:29:00,26.8,55.9,0.06925642807505383,-0.5816539263377365
2025-10-23 11:30:01,26.670743571924945,56.81165392633774,2025-10-23 11:30:00,2025-10-23 11:30:00,26.8,56.1,0.1292564280750561,-0.711653926337739
2025-10-23 11:31:01,26.640743571924947,56.701653926337734,2025-10-23 11:31:00,2025-10-23 11:31:00,26.8,55.9,0.1592564280750537,-0.8016539263377354
2025-10-23 11:32:02,26.600743571924948,56.911653926337735,2025-10-23 11:32:00,2025-10-23 11:32:00,26.8,56.0,0.19925642807505284,-0.9116539263377348
2025-10-23 11:33:01,26.570743571924947,57.00165392633774,2025-10-23 11:33:00,2025-10-23 11:33:00,26.8,56.1,0.22925642807505398,-0.9016539263377368
2025-10-23 11:34:01,26.580743571924945,56.951653926337734,2025-10-23 11:34:00,2025-10-23 11:34:00,26.8,56.0,0.21925642807505596,-0.9516539263377339
2025-10-23 11:35:02,26.570743571924947,57.25165392633774,2025-10-23 11:35:00,2025-10-23 11:35:00,26.8,56.3,0.22925642807505398,-0.951653926337741
2025-10-23 11:36:01,26.580743571924945,57.441653926337736,2025-10-23 11:36:00,2025-10-23 11:36:00,26.8,56.7,0.21925642807505596,-0.7416539263377331
2025-10-23 11:37:01,26.580743571924945,57.911653926337735,2025-10-23 11:37:00,2025-10-23 11:37:00,26.8,57.1,0.21925642807505596,-0.8116539263377334
2025-10-23 11:38:02,26.530743571924948,58.271653926337734,2025-10-23 11:38:00,2025-10-23 11:38:00,26.8,57.4,0.2692564280750531,-0.8716539263377356
2025-10-23 11:39:01,26.520743571924946,58.32165392633774,2025-10-23 11:39:00,2025-10-23 11:39:00,26.7,57.3,0.17925642807505326,-1.0216539263377413
2025-10-23 11:40:01,26.480743571924947,58.10165392633774,2025-10-23 11:40:00,2025-10-23 11:40:00,26.7,57.2,0.2192564280750524,-0.9016539263377368
2025-10-23 11:41:02,26.420743571924945,58.091653926337735,2025-10-23 11:41:00,2025-10-23 11:41:00,26.7,57.2,0.2792564280750547,-0.8916539263377317
2025-10-23 11:42:01,26.460743571924947,58.21165392633774,2025-10-23 11:42:00,2025-10-23 11:42:00,26.7,57.2,0.23925642807505199,-1.0116539263377362
2025-10-23 11:43:01,26.470743571924945,58.11165392633774,2025-10-23 11:43:00,2025-10-23 11:43:00,26.7,57.0,0.22925642807505398,-1.1116539263377376
2025-10-23 11:44:02,26.470743571924945,57.89165392633774,2025-10-23 11:44:00,2025-10-23 11:44:00,26.7,56.7,0.22925642807505398,-1.191653926337736
2025-10-23 11:45:01,26.430743571924946,57.81165392633774,2025-10-23 11:45:00,2025-10-23 11:45:00,26.6,56.7,0.16925642807505525,-1.1116539263377376
2025-10-23 11:46:01,26.400743571924945,58.201653926337734,2025-10-23 11:46:00,2025-10-23 11:46:00,26.6,57.2,0.1992564280750564,-1.001653926337731
2025-10-23 11:47:02,26.570743571924947,58.121653926337736,2025-10-23 11:47:00,2025-10-23 11:47:00,26.6,57.3,0.029256428075054686,-0.8216539263377385
2025-10-23 11:48:01,26.670743571924945,57.50165392633774,2025-10-23 11:48:00,2025-10-23 11:48:00,26.7,56.9,0.029256428075054686,-0.6016539263377396
2025-10-23 11:49:01,26.760743571924948,57.341653926337735,2025-10-23 11:49:00,2025-10-23 11:49:00,26.8,56.9,0.039256428075052696,-0.4416539263377359
2025-10-23 11:50:02,26.900743571924945,57.301653926337735,2025-10-23 11:50:00,2025-10-23 11:50:00,26.8,57.0,-0.10074357192494432,-0.30165392633773536
2025-10-23 11:51:01,26.840743571924946,55.68165392633774,2025-10-23 11:51:00,2025-10-23 11:51:00,26.9,54.7,0.05925642807505227,-0.9816539263377351
2025-10-23 11:52:01,26.710743571924947,55.271653926337734,2025-10-23 11:52:00,2025-10-23 11:52:00,26.9,54.4,0.18925642807505128,-0.8716539263377356
2025-10-23 11:53:02,26.570743571924947,55.07165392633774,2025-10-23 11:53:00,2025-10-23 11:53:00,26.9,53.7,0.32925642807505184,-1.3716539263377356
2025-10-23 11:54:01,26.370743571924947,55.29165392633774,2025-10-23 11:54:00,2025-10-23 11:54:00,26.8,53.9,0.42925642807505326,-1.3916539263377388
2025-10-23 11:55:01,26.260743571924948,55.28165392633774,2025-10-23 11:55:00,2025-10-23 11:55:00,26.7,53.4,0.4392564280750513,-1.8816539263377408
2025-10-23 11:56:02,26.230743571924947,54.58165392633774,2025-10-23 11:56:00,2025-10-23 11:56:00,26.6,52.5,0.36925642807505454,-2.0816539263377365
2025-10-23 11:57:01,26.160743571924947,54.40165392633774,2025-10-23 11:57:00,2025-10-23 11:57:00,26.5,52.5,0.3392564280750534,-1.9016539263377368
2025-10-23 11:58:01,26.120743571924947,54.121653926337736,2025-10-23 11:58:00,2025-10-23 11:58:00,26.5,52.3,0.37925642807505255,-1.8216539263377385
2025-10-23 11:59:02,26.110743571924946,53.941653926337736,2025-10-23 11:59:00,2025-10-23 11:59:00,26.5,52.0,0.3892564280750541,-1.941653926337736
2025-10-23 12:00:01,26.120743571924947,53.661653926337735,2025-10-23 12:00:00,2025-10-23 12:00:00,26.5,51.8,0.37925642807505255,-1.8616539263377376
2025-10-23 12:01:01,26.120743571924947,53.371653926337736,2025-10-23 12:01:00,2025-10-23 12:01:00,26.4,51.6,0.27925642807505113,-1.7716539263377342
2025-10-23 12:02:02,26.130743571924945,53.07165392633774,2025-10-23 12:02:00,2025-10-23 12:02:00,26.4,51.4,0.2692564280750531,-1.67165392633774
2025-10-23 12:03:01,26.090743571924946,52.92165392633774,2025-10-23 12:03:00,2025-10-23 12:03:00,26.4,51.2,0.30925642807505227,-1.721653926337737
2025-10-23 12:04:01,26.080743571924945,52.57165392633774,2025-10-23 12:04:00,2025-10-23 12:04:00,26.4,50.9,0.31925642807505383,-1.67165392633774
2025-10-23 12:05:02,26.140743571924947,52.551653926337735,2025-10-23 12:05:00,2025-10-23 12:05:00,26.4,50.7,0.25925642807505156,-1.8516539263377325
2025-10-23 12:06:01,26.160743571924947,52.07165392633774,2025-10-23 12:06:00,2025-10-23 12:06:00,26.4,50.5,0.23925642807505199,-1.5716539263377385
2025-10-23 12:07:01,26.210743571924947,51.801653926337735,2025-10-23 12:07:00,2025-10-23 12:07:00,26.4,50.2,0.18925642807505128,-1.6016539263377325
2025-10-23 12:08:02,26.190743571924948,51.46165392633774,2025-10-23 12:08:00,2025-10-23 12:08:00,26.5,49.9,0.30925642807505227,-1.5616539263377405
2025-10-23 12:09:01,26.240743571924945,51.511653926337736,2025-10-23 12:09:00,2025-10-23 12:09:00,26.5,49.8,0.2592564280750551,-1.711653926337739
2025-10-23 12:10:01,26.210743571924947,51.051653926337735,2025-10-23 12:10:00,2025-10-23 12:10:00,26.5,49.4,0.2892564280750527,-1.6516539263377368
2025-10-23 12:11:02,26.240743571924945,51.15165392633774,2025-10-23 12:11:00,2025-10-23 12:11:00,26.5,49.5,0.2592564280750551,-1.6516539263377368
2025-10-23 12:12:01,26.210743571924947,51.161653926337735,2025-10-23 12:12:00,2025-10-23 12:12:00,26.5,49.5,0.2892564280750527,-1.6616539263377348
2025-10-23 12:13:01,26.190743571924948,50.951653926337734,2025-10-23 12:13:00,2025-10-23 12:13:00,26.5,49.3,0.30925642807505227,-1.6516539263377368
2025-10-23 12:14:01,26.160743571924947,50.58165392633774,2025-10-23 12:14:00,2025-10-23 12:14:00,26.5,48.7,0.3392564280750534,-1.8816539263377337
2025-10-23 12:15:01,26.060743571924945,50.301653926337735,2025-10-23 12:15:00,2025-10-23 12:15:00,26.5,48.5,0.43925642807505483,-1.8016539263377354
2025-10-23 12:16:01,26.130743571924945,50.61165392633774,2025-10-23 12:16:00,2025-10-23 12:16:00,26.4,48.8,0.2692564280750531,-1.8116539263377405
2025-10-23 12:17:02,26.190743571924948,50.051653926337735,2025-10-23 12:17:00,2025-10-23 12:17:00,26.4,48.5,0.20925642807505085,-1.5516539263377354
2025-10-23 12:18:01,26.250743571924946,49.93165392633774,2025-10-23 12:18:00,2025-10-23 12:18:00,26.4,48.5,0.14925642807505213,-1.431653926337738
2025-10-23 12:19:01,26.320743571924947,49.701653926337734,2025-10-23 12:19:00,2025-10-23 12:19:00,26.5,48.3,0.17925642807505326,-1.4016539263377368
2025-10-23 12:20:02,26.340743571924946,49.67165392633774,2025-10-23 12:20:00,2025-10-23 12:20:00,26.5,48.2,0.1592564280750537,-1.471653926337737
2025-10-23 12:21:01,26.370743571924947,49.50165392633774,2025-10-23 12:21:00,2025-10-23 12:21:00,26.5,48.1,0.12925642807505255,-1.4016539263377368
2025-10-23 12:22:01,26.430743571924946,49.371653926337736,2025-10-23 12:22:00,2025-10-23 12:22:00,26.6,48.1,0.16925642807505525,-1.2716539263377342
2025-10-23 12:23:01,26.450743571924946,49.40165392633774,2025-10-23 12:23:00,2025-10-23 12:23:00,26.6,48.1,0.14925642807505568,-1.3016539263377354
